,label,attempt_0,attempt_1,attempt_2
0,genuine,match,match,match
1,genuine,match,match,match
2,genuine,match,match,match
3,genuine,match,match,match
4,genuine,match,match,match
5,genuine,match,match,match
6,genuine,match,match,match
7,genuine,match,match,match
8,genuine,match,match,match
9,genuine,match,match,match
10,genuine,match,match,match
11,genuine,match,match,match
12,genuine,match,match,match
13,genuine,match,match,match
14,genuine,match,match,match
15,genuine,match,match,match
16,genuine,match,match,match
17,genuine,match,match,match
18,genuine,match,match,match
19,genuine,match,match,match
20,genuine,match,match,match
21,genuine,match,match,match
22,genuine,match,match,match
23,genuine,match,match,match
24,genuine,match,match,match
25,genuine,match,match,match
26,genuine,match,match,match
27,genuine,match,match,match
28,genuine,match,match,match
29,genuine,match,match,match
30,genuine,match,match,match
31,genuine,match,match,match
32,genuine,match,match,match
33,genuine,match,match,match
34,genuine,match,match,match
35,genuine,match,match,match
36,genuine,match,match,match
37,genuine,match,match,match
38,genuine,match,match,match
39,genuine,match,match,match
40,genuine,match,match,match
41,genuine,match,match,match
42,genuine,match,match,match
43,genuine,match,match,match
44,genuine,match,match,match
45,genuine,match,match,match
46,genuine,match,match,match
47,genuine,match,match,match
48,genuine,match,match,match
49,genuine,match,match,match
50,genuine,match,match,match
51,genuine,match,match,match
52,genuine,match,match,match
53,genuine,match,match,match
54,genuine,match,match,match
55,genuine,match,match,match
56,genuine,match,match,match
57,genuine,impersonator,impersonator,match
58,genuine,match,impersonator,impersonator
59,genuine,match,match,match
60,genuine,match,match,match
61,genuine,match,match,match
62,genuine,match,match,match
63,genuine,match,match,mismatch
64,genuine,match,match,match
65,genuine,match,match,match
66,genuine,match,match,impersonator
67,genuine,match,match,match
68,genuine,match,match,match
69,genuine,match,match,match
70,genuine,match,match,impersonator
71,genuine,match,match,match
72,genuine,match,match,match
73,genuine,match,impersonator,match
74,genuine,match,match,match
75,genuine,match,match,match
76,genuine,match,match,match
77,genuine,match,match,match
78,genuine,match,match,match
79,genuine,match,impersonator,match
80,genuine,match,match,impersonator
81,genuine,match,match,match
82,genuine,match,match,match
83,genuine,match,impersonator,impersonator
84,genuine,match,impersonator,mismatch
85,genuine,match,match,match
86,genuine,match,match,match
87,genuine,mismatch,match,match
88,genuine,match,match,match
89,genuine,match,match,mismatch
90,genuine,match,match,match
91,genuine,impersonator,match,match
92,genuine,match,match,match
93,genuine,match,match,match
94,genuine,match,match,match
95,genuine,match,match,match
96,genuine,match,match,match
97,genuine,match,match,match
98,genuine,impersonator,match,match
99,genuine,match,match,impersonator
100,genuine,match,match,match
101,genuine,match,match,match
102,genuine,match,impersonator,match
103,genuine,match,impersonator,match
104,genuine,match,impersonator,match
105,genuine,match,impersonator,match
106,genuine,match,match,match
107,genuine,match,impersonator,match
108,genuine,match,match,match
109,genuine,match,match,match
110,genuine,impersonator,match,match
111,genuine,match,match,match
112,genuine,match,match,match
113,genuine,match,match,match
114,genuine,match,match,match
115,genuine,match,match,match
116,genuine,match,match,match
117,genuine,match,match,match
118,genuine,match,match,match
119,genuine,match,match,match
120,genuine,match,match,match
121,genuine,match,match,match
122,genuine,match,match,match
123,genuine,match,match,match
124,genuine,match,match,match
125,genuine,match,match,match
126,genuine,match,match,match
127,genuine,match,match,match
128,genuine,impersonator,match,match
129,genuine,match,match,match
130,genuine,match,match,match
131,genuine,match,match,match
132,genuine,match,match,match
133,genuine,match,match,match
134,genuine,match,match,match
135,genuine,match,match,match
136,genuine,match,match,match
137,genuine,match,match,match
138,genuine,impersonator,match,match
139,genuine,match,match,match
140,genuine,match,match,match
141,genuine,match,match,match
142,genuine,match,match,match
143,genuine,match,match,match
144,genuine,match,match,match
145,genuine,match,match,match
146,genuine,match,match,match
147,genuine,match,match,match
148,genuine,match,match,match
149,genuine,match,match,match
150,genuine,match,match,match
151,genuine,match,match,match
152,genuine,match,match,match
153,genuine,match,match,match
154,genuine,match,match,match
155,genuine,match,match,match
156,genuine,match,match,match
157,genuine,match,match,match
158,genuine,match,match,match
159,genuine,match,match,match
160,genuine,match,match,match
161,genuine,match,match,match
162,genuine,match,match,match
163,genuine,match,match,match
164,genuine,match,match,match
165,genuine,match,match,match
166,genuine,match,match,match
167,genuine,match,match,match
168,genuine,match,match,match
169,genuine,match,match,match
170,genuine,match,match,match
171,genuine,match,impersonator,match
172,genuine,impersonator,match,match
173,genuine,match,match,match
174,genuine,match,match,match
175,genuine,match,impersonator,match
176,genuine,match,match,match
177,genuine,match,match,match
178,genuine,match,match,match
179,genuine,match,match,match
180,genuine,match,match,match
181,genuine,match,match,match
182,genuine,match,impersonator,match
183,genuine,match,match,match
184,genuine,match,match,match
185,genuine,match,match,match
186,genuine,match,match,match
187,genuine,match,match,match
188,genuine,match,match,match
189,genuine,match,match,match
190,genuine,match,match,match
191,genuine,match,match,match
192,genuine,match,match,match
193,genuine,match,match,match
194,genuine,match,match,match
195,genuine,match,match,match
196,genuine,match,match,match
197,genuine,match,impersonator,match
198,genuine,impersonator,match,match
199,genuine,impersonator,match,match
200,genuine,match,match,impersonator
201,genuine,match,match,match
202,genuine,match,match,match
203,genuine,match,match,match
204,genuine,match,match,match
205,genuine,match,match,match
206,genuine,match,match,match
207,genuine,match,match,match
208,genuine,match,match,match
209,genuine,match,match,match
210,genuine,match,match,match
211,genuine,match,match,match
212,genuine,match,match,match
213,genuine,match,match,match
214,genuine,match,match,impersonator
215,genuine,match,impersonator,match
216,genuine,match,match,match
217,genuine,match,match,match
218,genuine,match,match,match
219,genuine,match,match,match
220,genuine,match,match,match
221,genuine,match,match,match
222,genuine,match,match,match
223,genuine,match,match,match
224,genuine,match,match,match
225,genuine,match,match,match
226,genuine,match,match,match
227,genuine,match,match,match
228,genuine,match,match,match
229,genuine,match,match,match
230,genuine,match,match,match
231,genuine,match,match,match
232,genuine,match,match,match
233,genuine,match,match,match
234,genuine,match,match,match
235,genuine,match,match,match
236,genuine,match,match,match
237,genuine,match,match,match
238,genuine,match,match,match
239,genuine,match,match,match
240,genuine,mismatch,match,match
241,genuine,match,match,match
242,genuine,match,match,match
243,genuine,match,match,match
244,genuine,match,match,match
245,genuine,match,match,match
246,genuine,match,match,match
247,genuine,match,match,match
248,genuine,match,match,match
249,genuine,match,match,match
250,genuine,match,match,match
251,genuine,match,match,match
252,genuine,match,match,match
253,genuine,match,impersonator,match
254,genuine,match,match,match
255,genuine,match,match,match
256,genuine,match,match,match
257,genuine,match,match,match
258,genuine,match,match,match
259,genuine,match,match,match
260,genuine,match,match,match
261,genuine,match,match,match
262,genuine,match,match,match
263,genuine,match,match,match
264,genuine,match,match,match
265,genuine,match,match,match
266,genuine,match,match,match
267,genuine,match,match,match
268,genuine,match,match,match
269,genuine,match,match,impersonator
270,genuine,match,match,match
271,genuine,match,match,match
272,genuine,match,match,match
273,genuine,match,match,match
274,genuine,match,match,match
275,genuine,match,match,match
276,genuine,match,match,match
277,genuine,match,match,match
278,genuine,match,match,match
279,genuine,match,match,match
280,genuine,match,match,match
281,genuine,match,match,match
282,genuine,match,match,match
283,genuine,match,match,match
284,genuine,match,match,match
285,genuine,match,match,match
286,genuine,match,match,match
287,genuine,match,match,match
288,genuine,match,match,match
289,genuine,match,match,match
290,genuine,match,match,match
291,genuine,match,match,match
292,genuine,match,match,match
293,genuine,match,match,match
294,genuine,impersonator,match,match
295,genuine,match,match,match
296,genuine,match,match,match
297,genuine,match,match,match
298,genuine,match,match,match
299,genuine,match,match,match
300,genuine,match,match,match
301,genuine,match,match,match
302,genuine,match,match,match
303,genuine,match,match,match
304,genuine,match,match,match
305,genuine,match,match,match
306,genuine,match,match,match
307,genuine,match,match,match
308,genuine,match,match,match
309,genuine,match,match,match
310,genuine,match,match,match
311,genuine,match,match,match
312,genuine,match,match,match
313,genuine,match,match,match
314,genuine,match,match,match
315,genuine,match,match,match
316,genuine,match,match,match
317,genuine,match,match,match
318,genuine,match,match,match
319,genuine,match,match,match
320,genuine,match,match,match
321,genuine,match,match,match
322,genuine,match,match,match
323,genuine,match,match,match
324,genuine,match,match,match
325,genuine,match,match,match
326,genuine,match,match,match
327,genuine,match,match,match
328,genuine,match,match,match
329,genuine,match,match,match
330,genuine,match,match,match
331,genuine,match,match,match
332,genuine,match,match,match
333,genuine,match,match,match
334,genuine,match,match,match
335,genuine,match,match,match
336,genuine,match,match,match
337,genuine,match,match,impersonator
338,genuine,mismatch,match,match
339,genuine,match,match,impersonator
340,genuine,match,match,match
341,genuine,match,impersonator,impersonator
342,genuine,match,match,match
343,genuine,match,match,impersonator
344,genuine,match,match,match
345,genuine,match,match,match
346,genuine,match,match,match
347,genuine,match,match,match
348,genuine,match,match,match
349,genuine,impersonator,impersonator,mismatch
350,genuine,match,impersonator,impersonator
351,genuine,match,impersonator,match
352,genuine,match,match,match
353,genuine,match,match,match
354,genuine,match,impersonator,match
355,genuine,match,match,match
356,genuine,match,match,impersonator
357,genuine,match,match,impersonator
358,genuine,match,match,match
359,genuine,match,match,match
360,genuine,match,match,match
361,genuine,match,match,match
362,genuine,match,match,match
363,genuine,match,match,match
364,genuine,match,match,match
365,genuine,match,match,match
366,genuine,match,match,match
367,genuine,match,match,match
368,genuine,match,match,match
369,genuine,match,match,match
370,genuine,match,match,match
371,genuine,match,match,match
372,genuine,match,match,impersonator
373,genuine,match,match,match
374,genuine,match,match,impersonator
375,genuine,match,match,impersonator
376,genuine,match,match,match
377,genuine,match,match,match
378,genuine,match,match,match
379,genuine,match,impersonator,match
380,genuine,match,match,match
381,genuine,match,match,match
382,genuine,impersonator,match,match
383,genuine,impersonator,match,match
384,genuine,match,match,match
385,genuine,impersonator,impersonator,match
386,genuine,match,match,match
387,genuine,impersonator,match,impersonator
388,genuine,match,match,match
389,genuine,match,match,match
390,genuine,match,match,match
391,genuine,impersonator,match,match
392,genuine,mismatch,match,impersonator
393,genuine,match,match,match
394,genuine,match,match,match
395,genuine,match,match,match
396,genuine,match,match,match
397,genuine,match,impersonator,impersonator
398,genuine,match,impersonator,match
399,genuine,match,match,match
400,genuine,match,match,match
401,genuine,match,match,match
402,genuine,impersonator,match,match
403,genuine,match,match,match
404,genuine,match,match,impersonator
405,genuine,match,match,match
406,genuine,impersonator,match,match
407,genuine,match,match,match
408,genuine,match,match,match
409,genuine,impersonator,match,match
410,genuine,match,match,match
411,genuine,match,match,match
412,genuine,match,match,match
413,genuine,match,match,match
414,genuine,match,match,impersonator
415,genuine,match,match,match
416,genuine,match,match,match
417,genuine,match,match,match
418,genuine,impersonator,match,match
419,genuine,match,match,match
420,genuine,impersonator,match,match
421,genuine,match,impersonator,match
422,genuine,match,match,match
423,genuine,match,match,match
424,genuine,match,match,match
425,genuine,match,match,match
426,genuine,mismatch,match,impersonator
427,genuine,match,match,match
428,genuine,match,match,match
429,genuine,match,match,match
430,genuine,impersonator,match,match
431,genuine,match,match,impersonator
432,genuine,match,match,match
433,genuine,match,match,match
434,genuine,match,match,match
435,genuine,match,match,match
436,genuine,match,match,match
437,genuine,match,match,match
438,genuine,match,match,match
439,genuine,match,match,match
440,genuine,match,match,match
441,genuine,match,match,match
442,genuine,match,match,match
443,genuine,match,match,match
444,genuine,match,match,impersonator
445,genuine,match,match,match
446,genuine,match,match,match
447,genuine,match,match,match
448,genuine,match,match,match
449,genuine,match,match,match
450,genuine,match,match,match
451,genuine,match,match,match
452,genuine,match,match,impersonator
453,genuine,match,match,match
454,genuine,match,match,match
455,genuine,match,match,match
456,genuine,match,match,match
457,genuine,match,match,match
458,genuine,match,match,match
459,genuine,match,match,match
460,genuine,match,match,match
461,genuine,match,match,match
462,genuine,match,match,match
463,genuine,match,match,match
464,genuine,match,match,match
465,genuine,match,match,match
466,genuine,match,match,impersonator
467,genuine,match,match,match
468,genuine,match,match,match
469,genuine,match,match,match
470,genuine,match,match,match
471,genuine,match,match,match
472,genuine,impersonator,match,match
473,genuine,match,match,match
474,genuine,match,match,match
475,genuine,match,match,match
476,genuine,match,match,match
477,genuine,match,match,match
478,genuine,match,match,match
479,genuine,match,match,match
480,genuine,match,match,match
481,genuine,match,match,match
482,genuine,match,match,match
483,genuine,match,match,match
484,genuine,match,match,match
485,genuine,match,match,match
486,genuine,match,match,match
487,genuine,match,match,match
488,genuine,match,match,match
489,genuine,match,match,match
490,genuine,match,match,match
491,genuine,match,match,match
492,genuine,match,match,match
493,genuine,match,match,match
494,genuine,match,match,match
