,label,attempt_0,attempt_1
0,genuine,match,match
1,genuine,match,match
2,genuine,match,match
3,genuine,match,match
4,genuine,match,match
5,genuine,match,match
6,genuine,match,match
7,genuine,match,match
8,genuine,match,match
9,genuine,match,match
10,genuine,match,match
11,genuine,match,match
12,genuine,match,match
13,genuine,match,match
14,genuine,match,match
15,genuine,match,match
16,genuine,match,match
17,genuine,match,match
18,genuine,match,match
19,genuine,match,match
20,genuine,match,match
21,genuine,match,match
22,genuine,match,match
23,genuine,match,match
24,genuine,match,match
25,genuine,match,match
26,genuine,match,match
27,genuine,match,match
28,genuine,match,match
29,genuine,match,match
30,genuine,match,match
31,genuine,match,match
32,genuine,match,match
33,genuine,match,match
34,genuine,match,match
35,genuine,match,match
36,genuine,match,match
37,genuine,match,match
38,genuine,match,match
39,genuine,match,match
40,genuine,match,match
41,genuine,match,match
42,genuine,match,match
43,genuine,match,match
44,genuine,match,match
45,genuine,match,match
46,genuine,match,match
47,genuine,match,match
48,genuine,match,match
49,genuine,match,match
50,genuine,match,match
51,genuine,match,match
52,genuine,match,match
53,genuine,match,match
54,genuine,match,match
55,genuine,match,match
56,genuine,match,match
57,genuine,match,match
58,genuine,match,match
59,genuine,match,match
60,genuine,match,match
61,genuine,match,match
62,genuine,match,match
63,genuine,match,match
64,genuine,match,match
65,genuine,match,match
66,genuine,match,match
67,genuine,match,match
68,genuine,match,match
69,genuine,match,match
70,genuine,match,match
71,genuine,match,match
72,genuine,match,match
73,genuine,match,match
74,genuine,match,match
75,genuine,match,match
76,genuine,match,match
77,genuine,match,match
78,genuine,match,match
79,genuine,match,match
80,genuine,match,match
81,genuine,match,match
82,genuine,match,match
83,genuine,match,match
84,genuine,match,match
85,genuine,match,impersonator
86,genuine,impersonator,match
87,genuine,match,impersonator
88,genuine,impersonator,match
89,genuine,match,match
90,genuine,match,match
91,genuine,match,match
92,genuine,match,match
93,genuine,match,match
94,genuine,match,match
95,genuine,match,mismatch
96,genuine,match,match
97,genuine,match,match
98,genuine,match,match
99,genuine,match,match
100,genuine,impersonator,match
101,genuine,match,match
102,genuine,match,match
103,genuine,match,match
104,genuine,match,match
105,genuine,match,match
106,genuine,impersonator,match
107,genuine,match,match
108,genuine,match,match
109,genuine,match,match
110,genuine,impersonator,match
111,genuine,match,match
112,genuine,match,match
113,genuine,match,match
114,genuine,match,match
115,genuine,match,match
116,genuine,match,match
117,genuine,match,match
118,genuine,match,match
119,genuine,impersonator,match
120,genuine,match,match
121,genuine,impersonator,match
122,genuine,match,match
123,genuine,match,match
124,genuine,match,match
125,genuine,impersonator,impersonator
126,genuine,match,impersonator
127,genuine,mismatch,match
128,genuine,match,match
129,genuine,match,match
130,genuine,match,mismatch
131,genuine,match,match
132,genuine,match,match
133,genuine,match,match
134,genuine,match,mismatch
135,genuine,match,match
136,genuine,match,impersonator
137,genuine,match,match
138,genuine,match,match
139,genuine,match,match
140,genuine,match,match
141,genuine,match,match
142,genuine,match,match
143,genuine,match,match
144,genuine,match,match
145,genuine,match,match
146,genuine,match,match
147,genuine,impersonator,match
148,genuine,match,match
149,genuine,match,impersonator
150,genuine,match,match
151,genuine,match,match
152,genuine,match,match
153,genuine,match,impersonator
154,genuine,match,match
155,genuine,impersonator,match
156,genuine,match,impersonator
157,genuine,match,match
158,genuine,impersonator,match
159,genuine,match,match
160,genuine,match,match
161,genuine,impersonator,match
162,genuine,match,match
163,genuine,match,match
164,genuine,match,match
165,genuine,impersonator,match
166,genuine,match,match
167,genuine,match,match
168,genuine,match,match
169,genuine,match,match
170,genuine,match,match
171,genuine,match,match
172,genuine,match,match
173,genuine,match,match
174,genuine,match,match
175,genuine,match,match
176,genuine,match,match
177,genuine,match,match
178,genuine,match,match
179,genuine,match,match
180,genuine,match,match
181,genuine,match,match
182,genuine,match,match
183,genuine,match,match
184,genuine,match,match
185,genuine,match,match
186,genuine,match,match
187,genuine,match,match
188,genuine,match,match
189,genuine,match,match
190,genuine,match,match
191,genuine,match,match
192,genuine,impersonator,match
193,genuine,match,match
194,genuine,match,match
195,genuine,match,match
196,genuine,match,match
197,genuine,match,match
198,genuine,match,match
199,genuine,match,match
200,genuine,match,match
201,genuine,match,match
202,genuine,match,match
203,genuine,match,match
204,genuine,match,match
205,genuine,match,match
206,genuine,match,match
207,genuine,impersonator,match
208,genuine,match,match
209,genuine,match,match
210,genuine,match,match
211,genuine,match,match
212,genuine,match,match
213,genuine,match,match
214,genuine,match,match
215,genuine,match,match
216,genuine,match,match
217,genuine,match,match
218,genuine,match,match
219,genuine,match,match
220,genuine,match,match
221,genuine,match,match
222,genuine,match,match
223,genuine,match,match
224,genuine,match,match
225,genuine,match,match
226,genuine,match,match
227,genuine,match,match
228,genuine,match,match
229,genuine,match,match
230,genuine,match,match
231,genuine,match,match
232,genuine,match,match
233,genuine,match,match
234,genuine,match,match
235,genuine,match,match
236,genuine,match,match
237,genuine,match,match
238,genuine,match,match
239,genuine,match,match
240,genuine,match,match
241,genuine,match,match
242,genuine,match,match
243,genuine,match,match
244,genuine,match,match
245,genuine,match,match
246,genuine,match,match
247,genuine,match,match
248,genuine,match,match
249,genuine,match,match
250,genuine,match,match
251,genuine,match,match
252,genuine,match,match
253,genuine,match,match
254,genuine,match,match
255,genuine,match,match
256,genuine,match,match
257,genuine,impersonator,match
